bench,scenario,status,scoreboard_pass,scoreboard_fail,uvm_error,uvm_fatal,raw_error_count,log
UART RX,directed,PASS,20,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_directed.log
UART RX,error,PASS,2,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_error.log
UART RX,reset,PASS,4,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_reset.log
UART RX,timeout,PASS,1,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_timeout.log
UART RX,jitter,PASS,3,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_jitter.log
UART RX,corner,PASS,5,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_corner.log
UART RX,byte_sweep,PASS,256,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_byte_sweep.log
UART RX,full_random,PASS,512,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_full_random.log
UART RX,all,PASS,292,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_all.log
UART TX,directed,PASS,20,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_directed.log
UART TX,reset,PASS,4,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_reset.log
UART TX,timeout,PASS,1,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_timeout.log
UART TX,jitter,PASS,3,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_jitter.log
UART TX,corner,PASS,9,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_corner.log
UART TX,byte_sweep,PASS,256,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_byte_sweep.log
UART TX,full_random,PASS,512,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_full_random.log
UART TX,all,PASS,296,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_all.log
SPI MASTER,smoke,PASS,1,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_smoke.log
SPI MASTER,corner,PASS,6,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_corner.log
SPI MASTER,byte_sweep,PASS,256,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_byte_sweep.log
SPI MASTER,full_random,PASS,512,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_full_random.log
SPI MASTER,all,PASS,275,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_all.log
SPI SLAVE,smoke,PASS,1,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_smoke.log
SPI SLAVE,corner,PASS,6,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_corner.log
SPI SLAVE,byte_sweep,PASS,256,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_byte_sweep.log
SPI SLAVE,full_random,PASS,512,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_full_random.log
SPI SLAVE,all,PASS,274,0,0,0,0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_all.log
