bench,coverpoint,expected,uncovered,covered,percent,report
UART RX,cp_data_pattern,5,0,5,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART RX,cp_frame_result,5,0,5,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART RX,cp_jitter_mode,3,0,3,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART RX,cp_reset_phase,5,0,5,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART RX,cp_tick_mode,3,0,3,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/RX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART TX,cp_data_pattern,5,0,5,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART TX,cp_handshake,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART TX,cp_jitter_mode,3,0,3,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART TX,cp_reset_phase,5,0,5,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART TX,cp_result,4,0,4,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
UART TX,cp_tick_mode,3,0,3,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/UART/TX/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI MASTER,cp_cpha,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI MASTER,cp_cpol,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI MASTER,cp_jitter,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI MASTER,cp_miso_data,4,0,4,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI MASTER,cp_reset,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI MASTER,cp_result,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI MASTER,cp_tick,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI MASTER,cp_tx_data,6,0,6,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI SLAVE,cp_cpha,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI SLAVE,cp_cpol,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI SLAVE,cp_jitter,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI SLAVE,cp_mosi_data,4,0,4,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI SLAVE,cp_reset,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI SLAVE,cp_result,3,0,3,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI SLAVE,cp_tick,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
SPI SLAVE,cp_tx_data,4,0,4,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/SPI/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C MASTER,cp_addr,1,0,1,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C MASTER,cp_data,4,0,4,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C MASTER,cp_direction,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C MASTER,cp_jitter,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C MASTER,cp_reset,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C MASTER,cp_result,3,0,3,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C MASTER,cp_tick,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/MASTER/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C SLAVE,cp_addr_hit,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C SLAVE,cp_data,4,0,4,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C SLAVE,cp_direction,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C SLAVE,cp_jitter,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C SLAVE,cp_reset,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C SLAVE,cp_result,3,0,3,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
I2C SLAVE,cp_tick,2,0,2,100.0,C:/Users/user/Desktop/MAIN_ing/10_Projects/uvm_ttt/TB/I2C/SLAVE/xsim_coverage_report/functionalCoverageReport/xcrg_func_cov_report.txt
